class,softmax_output,set
0,[0.8610323  0.13896774],
0,[0.8840482  0.11595175],
0,[0.899291   0.10070904],
0,[9.9993813e-01 6.1817489e-05],
0,[9.9910635e-01 8.9364097e-04],
0,[0.87598705 0.12401299],
0,[0.2766902  0.72330976],
0,[0.956541   0.04345899],
0,[9.9940407e-01 5.9590384e-04],
0,[0.9849792  0.01502074],
1,[0.00106908 0.9989309 ],
0,[0.99737906 0.00262099],
0,[0.99843603 0.001564  ],
1,[0.00881169 0.9911883 ],
0,[0.99137515 0.00862483],
0,[0.99604505 0.00395494],
0,[0.8700252 0.1299748],
0,[0.9790325 0.0209675],
0,[0.9787521  0.02124794],
0,[0.99157906 0.008421  ],
0,[0.9978927  0.00210739],
0,[0.9264871  0.07351293],
0,[9.9943286e-01 5.6711864e-04],
0,[9.9959403e-01 4.0597687e-04],
0,[0.9914068  0.00859327],
0,[0.9890476  0.01095241],
0,[0.9957008  0.00429923],
0,[0.9475746  0.05242535],
1,[0.07467727 0.9253228 ],
0,[0.9824456  0.01755433],
0,[0.9964539  0.00354612],
0,[0.9919511  0.00804886],
0,[0.9969995  0.00300048],
1,[0.02794883 0.97205114],
0,[0.7682167  0.23178324],
0,[0.93305284 0.0669472 ],
1,[0.03657386 0.9634261 ],
0,[0.98226017 0.01773981],
0,[0.97443616 0.02556386],
1,[0.03196496 0.968035  ],
0,[0.8843075  0.11569247],
0,[0.99720687 0.0027931 ],
0,[0.9920598  0.00794014],
0,[0.9978967  0.00210332],
0,[0.9847451 0.0152549],
0,[0.95626193 0.04373801],
0,[0.9066976  0.09330245],
0,[0.983315   0.01668507],
0,[0.9984415  0.00155852],
0,[0.99863344 0.00136649],
0,[0.970477   0.02952296],
0,[0.9973787 0.0026213],
0,[0.99746394 0.00253611],
0,[0.975008   0.02499206],
0,[0.9814865  0.01851351],
0,[0.99527645 0.00472351],
0,[0.9874742  0.01252586],
0,[0.996619 0.003381],
0,[0.997769   0.00223102],
0,[0.98867375 0.01132621],
0,[0.99600476 0.00399528],
0,[0.9909729  0.00902709],
0,[0.99833846 0.00166152],
0,[0.96323305 0.03676698],
0,[0.990044 0.009956],
0,[0.912486   0.08751398],
0,[0.9879219 0.0120781],
0,[0.959968   0.04003206],
0,[0.9255031  0.07449691],
0,[0.55528456 0.4447155 ],
0,[0.9979109  0.00208911],
0,[0.9986872  0.00131274],
0,[9.9926692e-01 7.3308544e-04],
0,[0.995606   0.00439394],
0,[0.9986525  0.00134756],
1,[0.00495014 0.9950499 ],
0,[0.9660136  0.03398644],
0,[0.9881721  0.01182786],
0,[9.9951696e-01 4.8300694e-04],
0,[0.9967956  0.00320438],
0,[0.9961462  0.00385381],
0,[0.996684   0.00331601],
0,[0.99707246 0.00292754],
0,[0.9926675  0.00733254],
0,[0.9944559  0.00554416],
0,[0.9966608  0.00333922],
0,[0.99427843 0.00572158],
0,[0.989985   0.01001503],
0,[0.99400926 0.00599078],
0,[0.98387754 0.01612243],
0,[0.99732816 0.00267182],
0,[9.9973041e-01 2.6963596e-04],
0,[9.991265e-01 8.735308e-04],
0,[0.97074044 0.02925958],
0,[0.70284927 0.29715073],
0,[0.85813767 0.14186232],
0,[0.99690324 0.00309669],
0,[0.9924664  0.00753362],
0,[0.9953035  0.00469653],
0,[0.99759007 0.00240992],
0,[0.97447735 0.02552268],
0,[0.99877566 0.00122436],
0,[0.7410562  0.25894383],
0,[0.9892074  0.01079267],
0,[0.9951009  0.00489915],
1,[0.00511735 0.9948827 ],
0,[0.99798465 0.00201533],
0,[0.9378667  0.06213335],
1,[0.01106807 0.9889319 ],
0,[0.26523265 0.7347673 ],
0,[0.99820876 0.00179127],
0,[0.9976084  0.00239156],
0,[0.92836505 0.07163492],
0,[0.9933329  0.00666707],
0,[0.98169976 0.0183002 ],
0,[0.6633361  0.33666393],
0,[0.9956435  0.00435648],
0,[0.9781488  0.02185122],
0,[0.9921325  0.00786758],
0,[0.93417186 0.06582817],
0,[0.88902473 0.11097524],
0,[9.9995971e-01 4.0350038e-05],
0,[9.9967790e-01 3.2211177e-04],
0,[0.997273   0.00272693],
0,[0.19736178 0.80263823],
0,[0.9981773  0.00182273],
0,[0.99588287 0.00411716],
0,[0.98102933 0.0189707 ],
0,[0.98845077 0.01154919],
0,[0.22728938 0.7727106 ],
1,[0.01207266 0.9879274 ],
0,[0.99679345 0.00320651],
0,[0.00511623 0.9948837 ],
0,[0.98906016 0.01093987],
0,[0.99048495 0.00951511],
0,[0.9962585  0.00374148],
0,[0.95115167 0.0488483 ],
0,[0.9724315  0.02756858],
0,[0.40674704 0.5932529 ],
0,[0.99464333 0.00535672],
0,[9.9959058e-01 4.0949276e-04],
0,[0.9807618  0.01923814],
1,[3.932748e-04 9.996068e-01],
0,[9.9952674e-01 4.7321783e-04],
0,[9.992543e-01 7.456458e-04],
0,[0.98511606 0.01488399],
1,[0.01718888 0.9828111 ],
0,[0.99858034 0.00141963],
0,[0.98080677 0.01919326],
0,[0.9944391  0.00556092],
0,[0.9643582  0.03564176],
0,[0.9936201  0.00637983],
0,[0.9936178  0.00638224],
0,[9.9909306e-01 9.0694067e-04],
0,[0.86144125 0.1385588 ],
0,[0.9695957  0.03040432],
0,[0.99174047 0.00825952],
0,[0.9842129  0.01578704],
0,[0.99541134 0.00458861],
0,[0.9611754  0.03882466],
0,[0.99561936 0.00438064],
0,[0.5998694  0.40013063],
0,[0.99759704 0.00240293],
0,[0.94155836 0.05844167],
0,[0.9979411  0.00205896],
0,[0.9972675  0.00273253],
0,[0.9415421  0.05845797],
1,[0.6783527  0.32164726],
0,[0.5010133  0.49898666],
0,[0.9827708  0.01722921],
0,[0.9984427  0.00155734],
0,[0.9546975  0.04530255],
0,[0.9964316  0.00356834],
0,[0.9971239  0.00287606],
0,[9.994137e-01 5.863173e-04],
0,[0.9974355  0.00256445],
0,[0.01280515 0.98719484],
0,[0.9988649  0.00113516],
0,[0.95536053 0.04463949],
0,[0.9905219  0.00947815],
0,[0.98071504 0.01928492],
0,[0.42982316 0.57017684],
0,[9.992355e-01 7.645185e-04],
0,[0.9988417  0.00115837],
0,[9.9978071e-01 2.1930817e-04],
0,[0.9834009  0.01659912],
0,[0.99313146 0.00686851],
0,[9.9924785e-01 7.5213047e-04],
0,[0.9045123  0.09548767],
0,[0.9930391  0.00696098],
0,[0.997719   0.00228102],
0,[9.994282e-01 5.717902e-04],
0,[0.98574775 0.01425218],
0,[0.9898718  0.01012816],
1,[0.0026683  0.99733174],
0,[9.995838e-01 4.162325e-04],
0,[0.9982237  0.00177631],
1,[0.04943656 0.95056343],
0,[0.9971917  0.00280827],
0,[9.9953651e-01 4.6349096e-04],
0,[9.9951613e-01 4.8385139e-04],
0,[0.9983261  0.00167383],
0,[0.98157686 0.0184231 ],
0,[0.97921133 0.02078868],
0,[0.9987607  0.00123928],
0,[0.99789375 0.00210624],
0,[0.99705577 0.00294429],
0,[9.9945098e-01 5.4907246e-04],
0,[0.9846155 0.0153845],
0,[0.9897396  0.01026042],
0,[0.9906412  0.00935881],
0,[0.99782014 0.00217987],
0,[9.9953222e-01 4.6775897e-04],
0,[0.9981457  0.00185431],
0,[0.99751174 0.00248821],
0,[0.99308985 0.00691011],
0,[0.9970715  0.00292853],
0,[0.9978371  0.00216285],
0,[0.998743   0.00125701],
0,[0.987435   0.01256501],
0,[0.9695867  0.03041333],
0,[0.9986823  0.00131768],
0,[9.99508e-01 4.92010e-04],
0,[0.93805116 0.06194882],
0,[0.9979664  0.00203363],
0,[0.98729914 0.0127009 ],
0,[0.9096381  0.09036188],
0,[0.97722    0.02278005],
1,[0.20245066 0.79754937],
0,[0.70979595 0.29020402],
0,[0.99435484 0.00564518],
0,[0.9986725 0.0013276],
0,[9.9971408e-01 2.8585622e-04],
0,[0.9027109  0.09728909],
0,[0.9914853  0.00851471],
0,[0.99863917 0.00136087],
0,[0.9349677  0.06503233],
1,[0.02415781 0.97584224],
0,[0.9962488  0.00375119],
0,[0.9984439  0.00155617],
0,[0.99685633 0.00314362],
0,[0.9924384  0.00756167],
0,[9.992524e-01 7.475768e-04],
0,[0.9968742  0.00312576],
0,[0.99787927 0.00212074],
1,[0.08030515 0.9196948 ],
0,[0.95914805 0.04085198],
0,[0.99800104 0.001999  ],
0,[9.9958044e-01 4.1959152e-04],
0,[0.9971198  0.00288023],
0,[0.96818036 0.03181962],
0,[0.9733752  0.02662478],
0,[9.9940944e-01 5.9058063e-04],
0,[0.97159487 0.02840512],
0,[0.9983479  0.00165208],
0,[0.89656574 0.10343429],
0,[0.9775419  0.02245808],
0,[0.9917286  0.00827135],
0,[0.9985771  0.00142287],
0,[0.9914048  0.00859521],
0,[0.6575237  0.34247637],
1,[0.06778318 0.9322168 ],
0,[0.9539625  0.04603758],
0,[0.98187053 0.01812946],
0,[9.9905533e-01 9.4466814e-04],
0,[0.998659   0.00134092],
0,[0.99650073 0.00349923],
1,[0.03128945 0.96871054],
0,[9.9902344e-01 9.7653549e-04],
0,[0.9870209  0.01297905],
0,[0.8166414  0.18335858],
0,[0.9929172 0.0070828],
0,[0.99874204 0.00125799],
0,[9.9912232e-01 8.7771163e-04],
0,[0.43165013 0.5683499 ],
0,[0.98748046 0.01251951],
1,[0.00725098 0.99274904],
0,[0.9394144  0.06058566],
0,[9.9986672e-01 1.3325778e-04],
0,[9.9996126e-01 3.8751055e-05],
1,[0.18992244 0.81007755],
0,[0.99877185 0.00122815],
0,[0.9948494  0.00515064],
0,[0.99634296 0.00365698],
0,[0.9974037  0.00259634],
0,[0.99662626 0.00337381],
0,[0.9763649  0.02363513],
0,[0.9986682  0.00133177],
0,[0.988536   0.01146393],
0,[0.96871936 0.03128057],
0,[0.99345464 0.00654528],
0,[9.992919e-01 7.080335e-04],
0,[0.9805853  0.01941472],
0,[0.9362465 0.0637534],
0,[0.9933832  0.00661671],
0,[0.9857905  0.01420951],
0,[0.9880874  0.01191261],
0,[0.98933035 0.01066971],
0,[0.99280965 0.00719034],
0,[0.9641667  0.03583325],
0,[0.9719183 0.0280817],
0,[0.9880199  0.01198006],
0,[0.7099562  0.29004377],
0,[9.9975055e-01 2.4944317e-04],
0,[0.9962684 0.0037316],
0,[0.9978409  0.00215915],
0,[0.97978723 0.02021275],
0,[0.91200745 0.08799258],
0,[0.97197413 0.02802585],
0,[0.9489267  0.05107327],
0,[9.9964619e-01 3.5381498e-04],
0,[0.9988049  0.00119507],
0,[0.99276865 0.00723142],
0,[0.99570304 0.00429691],
1,[0.30300054 0.69699943],
1,[0.03839532 0.96160465],
0,[0.96663004 0.03336997],
0,[9.992029e-01 7.971229e-04],
0,[0.9959965  0.00400353],
0,[0.83673966 0.16326033],
0,[0.89535636 0.10464363],
0,[0.9232973  0.07670276],
0,[9.9955100e-01 4.4899303e-04],
0,[0.98648316 0.01351682],
0,[0.9929463  0.00705373],
0,[0.99877375 0.00122619],
0,[0.99822956 0.0017705 ],
0,[9.9954551e-01 4.5441074e-04],
0,[0.9989768  0.00102326],
0,[0.99707806 0.00292193],
0,[0.985865   0.01413498],
0,[0.8729297  0.12707034],
0,[0.9989286  0.00107138],
0,[0.99659914 0.0034009 ],
0,[0.9817116  0.01828836],
0,[9.9910814e-01 8.9184614e-04],
0,[9.9970704e-01 2.9298573e-04],
0,[0.9967123  0.00328772],
0,[0.99865866 0.00134129],
0,[0.99798596 0.00201401],
0,[0.9927753  0.00722471],
0,[0.99599093 0.00400903],
0,[0.9250172  0.07498287],
0,[0.68823415 0.31176582],
0,[0.99851435 0.00148567],
0,[0.97596747 0.02403257],
0,[9.9984503e-01 1.5498577e-04],
0,[0.9750532  0.02494684],
1,[0.19911197 0.800888  ],
0,[0.94847673 0.05152327],
0,[9.9964821e-01 3.5182413e-04],
0,[0.9755401  0.02445985],
0,[9.995047e-01 4.953579e-04],
0,[0.9771488  0.02285125],
0,[0.9376904  0.06230964],
0,[0.9979386  0.00206136],
0,[9.9968731e-01 3.1267153e-04],
0,[9.9971968e-01 2.8035423e-04],
1,[0.03083668 0.96916336],
0,[0.9820727  0.01792721],
0,[0.995751   0.00424894],
0,[0.9068832 0.0931168],
0,[0.99545777 0.00454221],
0,[0.9865058  0.01349425],
0,[9.9994504e-01 5.4967477e-05],
0,[0.9928843  0.00711575],
0,[0.9929705  0.00702945],
0,[9.9990284e-01 9.7088916e-05],
0,[0.9847238  0.01527614],
0,[0.9985233  0.00147673],
0,[0.9749927  0.02500726],
0,[0.9964948  0.00350523],
0,[0.9864196  0.01358044],
1,[0.08435582 0.91564417],
1,[0.01949646 0.98050356],
0,[0.85762906 0.14237095],
0,[0.995602 0.004398],
0,[0.92805034 0.07194965],
0,[0.9854453 0.0145547],
0,[0.98483247 0.01516748],
0,[9.994721e-01 5.279354e-04],
0,[0.9972759  0.00272411],
0,[0.4240423  0.57595766],
0,[0.99509215 0.00490785],
0,[0.9747672 0.0252328],
0,[9.9917477e-01 8.2515605e-04],
0,[0.9906955  0.00930446],
0,[9.9948418e-01 5.1583577e-04],
0,[9.9945158e-01 5.4838246e-04],
1,[0.00366785 0.9963322 ],
0,[0.91032237 0.08967763],
0,[0.9972134  0.00278659],
0,[0.9975298  0.00247024],
0,[0.99840146 0.00159852],
0,[0.8805106 0.1194894],
0,[0.99447626 0.00552373],
0,[0.9970042  0.00299575],
0,[0.9971642  0.00283584],
0,[9.993388e-01 6.611177e-04],
0,[0.99215734 0.00784265],
0,[0.93824667 0.06175334],
0,[0.99880993 0.00119006],
0,[0.99879646 0.00120349],
1,[5.1404518e-04 9.9948597e-01],
0,[0.99891245 0.00108756],
0,[0.99850804 0.00149196],
0,[0.9984238  0.00157619],
0,[0.9953921  0.00460791],
0,[9.993862e-01 6.137397e-04],
0,[0.9797127  0.02028727],
0,[0.9943295  0.00567049],
0,[0.9965162  0.00348372],
0,[0.02068556 0.97931445],
0,[9.9925274e-01 7.4724783e-04],
0,[0.9933351  0.00666491],
0,[0.99683076 0.00316926],
0,[9.9964797e-01 3.5199904e-04],
0,[0.9941555  0.00584442],
0,[9.997396e-01 2.604334e-04],
0,[0.99677426 0.00322579],
0,[0.9981153  0.00188469],
0,[0.9963611  0.00363897],
0,[0.97706234 0.02293769],
0,[0.99752504 0.00247502],
0,[0.99437535 0.00562464],
0,[0.9981457  0.00185433],
0,[0.9890843  0.01091575],
0,[0.9985511  0.00144891],
0,[0.12489823 0.87510175],
1,[0.00874495 0.99125504],
1,[0.01209905 0.987901  ],
0,[9.9981779e-01 1.8223535e-04],
0,[0.96609336 0.03390662],
0,[0.92635053 0.07364944],
0,[0.9624292  0.03757077],
0,[0.9977762  0.00222382],
0,[9.9945730e-01 5.4272375e-04],
0,[0.9956527  0.00434734],
0,[0.99358773 0.00641225],
0,[9.999223e-01 7.770250e-05],
0,[0.9680913  0.03190868],
0,[0.9965237  0.00347628],
0,[0.9936911  0.00630887],
0,[0.9961463  0.00385366],
0,[0.9696788  0.03032115],
0,[0.99877363 0.00122634],
0,[0.9896026 0.0103974],
0,[0.9978745  0.00212545],
0,[0.9775065 0.0224935],
0,[0.8979643  0.10203575],
0,[0.9953246  0.00467533],
0,[0.94667625 0.05332376],
1,[0.00220575 0.9977943 ],
1,[0.04381522 0.95618474],
0,[0.99246997 0.00753006],
0,[0.99881613 0.00118392],
0,[9.996973e-01 3.026772e-04],
0,[0.99016726 0.00983277],
0,[0.9915643  0.00843578],
0,[0.7466963  0.25330374],
0,[0.99068964 0.0093104 ],
1,[0.00721898 0.992781  ],
0,[0.9932632  0.00673689],
0,[0.9749715  0.02502848],
1,[0.00324323 0.99675673],
0,[9.9970680e-01 2.9315334e-04],
0,[0.99872476 0.00127525],
0,[0.9983632 0.0016368],
0,[0.9974953  0.00250479],
0,[0.96442163 0.03557831],
0,[0.9973531  0.00264693],
0,[9.991264e-01 8.735790e-04],
0,[0.99242073 0.0075793 ],
0,[0.9973974  0.00260258],
0,[0.9983816  0.00161837],
0,[0.7400041  0.25999585],
0,[9.9957520e-01 4.2478336e-04],
1,[1.2132164e-04 9.9987864e-01],
0,[0.9974611  0.00253894],
0,[0.9978331  0.00216693],
0,[0.97487736 0.02512268],
0,[9.9957234e-01 4.2763856e-04],
0,[0.9976235  0.00237645],
0,[0.00493741 0.99506253],
0,[0.9965148  0.00348517],
0,[0.99882144 0.00117859],
1,[0.15669222 0.8433078 ],
0,[0.98263663 0.01736334],
0,[0.98419464 0.01580529],
0,[0.99504966 0.0049503 ],
0,[0.9961378  0.00386214],
1,[0.02124801 0.97875196],
0,[0.99892503 0.00107494],
1,[0.25777176 0.74222827],
0,[0.99757427 0.00242577],
0,[9.9902177e-01 9.7827741e-04],
0,[9.9982053e-01 1.7955247e-04],
0,[0.9937629  0.00623715],
0,[0.98427343 0.01572659],
0,[0.44178686 0.5582131 ],
0,[0.99853206 0.00146787],
1,[0.06104698 0.938953  ],
0,[0.9771871  0.02281292],
0,[0.9984498  0.00155022],
0,[0.9911431 0.0088569],
0,[0.9949008 0.0050992],
0,[0.95985043 0.04014959],
0,[0.93464416 0.06535581],
0,[0.9782008 0.0217992],
0,[0.99731004 0.00268996],
0,[0.9987765 0.0012235],
0,[0.99578106 0.00421891],
0,[9.991667e-01 8.332354e-04],
0,[0.99741745 0.00258249],
0,[0.9803586  0.01964143],
0,[0.99276954 0.00723038],
0,[0.9929456  0.00705439],
0,[0.94415355 0.05584646],
1,[0.31108525 0.6889147 ],
0,[0.9648716  0.03512847],
0,[0.99865025 0.00134974],
0,[0.9966449  0.00335505],
0,[0.9924879  0.00751205],
0,[0.9911528  0.00884723],
0,[0.99182796 0.00817207],
0,[0.97512496 0.02487501],
1,[0.03862353 0.9613765 ],
1,[0.00806128 0.99193877],
0,[9.990103e-01 9.896188e-04],
0,[0.9989064  0.00109366],
0,[0.86516213 0.13483784],
0,[0.9857802  0.01421975],
1,[0.00437477 0.9956252 ],
0,[0.8481977  0.15180236],
0,[0.9966388  0.00336124],
0,[9.994992e-01 5.007347e-04],
0,[0.98964745 0.01035256],
1,[0.00647567 0.9935243 ],
0,[0.99592507 0.00407498],
1,[0.00859054 0.9914095 ],
0,[0.96437776 0.03562224],
0,[9.9976057e-01 2.3948083e-04],
0,[0.99178505 0.00821496],
1,[0.0070318  0.99296814],
0,[0.89755625 0.10244374],
0,[9.9911433e-01 8.8569644e-04],
0,[0.9987173  0.00128271],
0,[0.86121696 0.13878307],
0,[0.9989937  0.00100629],
0,[9.996012e-01 3.988386e-04],
0,[9.9977142e-01 2.2857357e-04],
0,[0.44462615 0.55537385],
0,[0.98249257 0.0175074 ],
1,[0.00675337 0.99324656],
0,[0.99231917 0.00768081],
0,[0.99761045 0.00238949],
0,[0.99842656 0.00157341],
0,[0.9960653  0.00393468],
0,[0.74501467 0.25498536],
0,[9.9956149e-01 4.3847796e-04],
0,[9.9954212e-01 4.5788471e-04],
0,[0.98825395 0.01174603],
0,[0.9918791  0.00812092],
0,[0.99875605 0.00124392],
0,[9.992933e-01 7.066288e-04],
0,[0.9976349  0.00236505],
0,[0.95755    0.04245005],
1,[0.24398126 0.7560187 ],
0,[0.9859825  0.01401752],
0,[0.98367625 0.01632375],
0,[0.9497242  0.05027582],
0,[9.9915326e-01 8.4668986e-04],
0,[0.9280998  0.07190021],
0,[0.38682896 0.61317104],
0,[0.9979948  0.00200522],
1,[0.09957637 0.90042365],
0,[0.9724798  0.02752014],
0,[0.30993664 0.6900634 ],
1,[0.01343305 0.98656696],
0,[0.8614224  0.13857763],
0,[0.9842703  0.01572967],
0,[0.99434966 0.0056503 ],
0,[0.99697316 0.00302689],
1,[0.02320093 0.9767991 ],
0,[0.9959604  0.00403959],
0,[9.992112e-01 7.888299e-04],
0,[9.9904257e-01 9.5736684e-04],
0,[0.77195597 0.22804403],
0,[9.9987018e-01 1.2976302e-04],
0,[0.98422396 0.01577598],
0,[0.87604296 0.12395706],
0,[0.99023986 0.00976018],
0,[0.9512047  0.04879529],
0,[0.99152654 0.00847343],
0,[0.9926756  0.00732446],
1,[0.01274919 0.9872508 ],
0,[0.9804591  0.01954087],
0,[0.936118   0.06388194],
1,[0.03381138 0.9661886 ],
1,[0.00658927 0.99341077],
0,[0.9762314  0.02376862],
1,[0.02836799 0.971632  ],
0,[9.994923e-01 5.076976e-04],
0,[0.99691963 0.00308033],
0,[0.9910719  0.00892805],
0,[0.998621   0.00137901],
0,[0.99638367 0.00361629],
0,[0.9951401  0.00485997],
0,[0.99487805 0.00512194],
0,[0.98707926 0.01292074],
0,[0.9964755  0.00352453],
0,[0.9983903  0.00160971],
0,[0.9943546  0.00564543],
0,[0.99541026 0.00458974],
0,[0.9820794  0.01792061],
0,[0.98269135 0.01730869],
0,[0.9966774  0.00332256],
0,[0.95645577 0.04354424],
0,[0.94214517 0.05785489],
0,[0.9794439  0.02055609],
0,[0.9964132  0.00358687],
0,[0.90184194 0.09815808],
0,[0.1115339  0.88846606],
0,[0.98716533 0.01283464],
0,[0.9957497  0.00425027],
0,[0.9893825 0.0106175],
0,[0.9791114 0.0208887],
0,[0.991504   0.00849596],
0,[0.9868357  0.01316432],
1,[0.01896675 0.9810332 ],
0,[9.9980026e-01 1.9976798e-04],
0,[0.8091722  0.19082783],
0,[0.9951525  0.00484749],
