class,predictions,softmax_output,sigmoid_output,set
0,[ 1.9987811 -2.2234714],[0.98554635 0.0144536 ],[0.88066906 0.09766246],train
0,[ 2.2825618 -3.1876845],[0.9958074  0.00419254],[0.9074225  0.03963182],train
0,[ 3.5891511 -4.0265164],[9.9950755e-01 4.9242919e-04],[0.9731207 0.0175238],train
0,[ 2.735895  -3.1238348],[0.99715614 0.0028439 ],[0.9391118  0.04213472],train
0,[ 2.8114922 -3.5105984],[0.9982071  0.00179296],[0.9432937  0.02901217],train
1,[-2.9780304  3.0903254],[0.00230963 0.99769044],[0.04842831 0.9564919 ],train
0,[ 0.2841239  -0.93351847],[0.77164835 0.22835162],[0.57055694 0.28221145],train
0,[ 1.3711857 -1.9587153],[0.96544045 0.03455953],[0.79757166 0.12360616],train
0,[ 0.6856858 -0.977261 ],[0.8406332  0.15936682],[0.6650065 0.2734356],train
0,[ 1.7777888 -2.516661 ],[0.98653954 0.01346042],[0.85542357 0.07469841],train
0,[ 3.7222273 -4.185969 ],[9.9963236e-01 3.6758199e-04],[0.97639084 0.01497966],train
0,[ 0.6971286 -1.1176362],[0.8599367  0.14006324],[0.66755086 0.24645   ],train
0,[ 0.58821255 -1.9772183 ],[0.92860335 0.07139663],[0.6429549  0.12161568],train
0,[ 4.0576544 -4.2775245],[9.9976009e-01 2.3986881e-04],[0.98300433 0.01368704],train
0,[ 0.9091142 -1.8305929],[0.9393294 0.0606706],[0.71281886 0.13816766],train
0,[ 1.5806037 -1.2839755],[0.94606745 0.05393258],[0.82929    0.21687426],train
0,[ 2.0559387 -2.1754534],[0.98567605 0.01432399],[0.8865464  0.10197654],train
0,[ 0.4077307 -1.0186565],[0.80633783 0.19366224],[0.6005436 0.2652892],train
0,[ 2.9448526 -2.8508008],[0.99696845 0.00303152],[0.95001966 0.05463994],train
0,[ 2.8316214 -2.793506 ],[0.99640685 0.00359315],[0.94436085 0.05767611],train
0,[ 3.0976238 -3.4518766],[0.99857116 0.00142879],[0.9567946  0.03071294],train
0,[ 4.444     -4.3979893],[9.9985552e-01 1.4451402e-04],[0.9883875  0.01215255],train
0,[ 0.6625203 -0.6860428],[0.7938946 0.2061054],[0.6598263  0.33491397],train
1,[-2.082807   1.6500102],[0.02336629 0.9766337 ],[0.11077914 0.8388924 ],train
0,[ 1.2487017 -3.0431156],[0.9865045  0.01349542],[0.777075   0.04551562],train
1,[-2.076134   2.1515744],[0.01437609 0.98562396],[0.11143821 0.8958158 ],train
0,[ 3.6409523 -3.3456626],[9.990767e-01 9.233161e-04],[0.97444296 0.03403749],train
0,[ 2.9038806 -4.3293147],[9.9927837e-01 7.2168827e-04],[0.948038   0.01300521],train
0,[ 2.6804214 -3.4932616],[0.9979208  0.00207922],[0.9358614  0.02950457],train
0,[ 2.5542147 -3.57855  ],[0.99783415 0.00216587],[0.92785615 0.027158  ],train
0,[ 2.6560557 -3.2189639],[0.9971992  0.00280087],[0.9343833  0.03845828],train
0,[-0.2899136 -1.8217268],[0.82227147 0.17772856],[0.428025   0.13922681],train
1,[-0.9670522   0.51227105],[0.18552966 0.81447035],[0.27546844 0.62533873],train
0,[ 2.031691 -2.221962],[0.9859869  0.01401306],[0.88408446 0.09779556],train
0,[ 1.0135719 -1.0732354],[0.8896143  0.11038571],[0.73371863 0.25478828],train
0,[ 2.8728945 -3.2091858],[0.99772173 0.00227822],[0.94649017 0.0388215 ],train
0,[ 2.1282697 -2.6544561],[0.99169636 0.00830362],[0.8936206  0.06571489],train
0,[ 4.268347  -4.2488914],[9.998000e-01 1.999509e-04],[0.9861885  0.01407901],train
0,[ 2.2378561 -2.0508358],[0.9864629 0.0135371],[0.9035979  0.11396795],train
0,[ 2.2760978 -2.4706438],[0.9913947  0.00860524],[0.906878   0.07794196],train
1,[-1.6553504  1.2494586],[0.05191635 0.94808364],[0.16038713 0.7772061 ],train
0,[ 3.0378282 -3.3664932],[0.99834836 0.00165166],[0.9542541 0.0333592],train
0,[ 2.0043905 -1.8651856],[0.9795593  0.02044068],[0.8812573  0.13409977],train
0,[ 3.6013076 -3.4605672],[9.991436e-01 8.564354e-04],[0.9734369  0.03045528],train
0,[ 1.4408317 -1.1738094],[0.931798   0.06820206],[0.8085834  0.23616709],train
0,[ 1.0786308 -1.136396 ],[0.90159076 0.09840916],[0.7462348  0.24298263],train
0,[ 3.1263182 -3.841087 ],[9.9905878e-01 9.4120746e-04],[0.95796543 0.02101897],train
0,[ 0.757892  -1.3595904],[0.8925908  0.10740921],[0.68089586 0.20430687],train
1,[-1.2112963  0.767679 ],[0.12142812 0.8785719 ],[0.22947176 0.6830186 ],train
0,[ 1.892712  -2.3593683],[0.98596525 0.01403481],[0.86906445 0.08632401],train
0,[ 3.0237358 -3.860007 ],[0.9989768  0.00102326],[0.953635   0.02063315],train
0,[ 3.5923233 -3.8733418],[9.9942786e-01 5.7207688e-04],[0.9732036  0.02036541],train
0,[-1.6413727  1.002645 ],[0.06635869 0.9336414 ],[0.16227837 0.7315783 ],train
0,[ 3.6800687 -4.186973 ],[9.996170e-01 3.830195e-04],[0.97539926 0.01496485],train
0,[ 2.5115397 -3.0161302],[0.99604046 0.0039595 ],[0.9249468  0.04670246],train
0,[ 3.1461015 -3.7101324],[0.9989483  0.00105176],[0.95875484 0.0238896 ],train
0,[ 3.2115295 -3.663186 ],[0.9989675  0.00103252],[0.9612659  0.02500916],train
0,[ 0.800479  -1.3974847],[0.9000665 0.0999335],[0.6900769  0.19821556],train
0,[ 2.6315649 -2.7022564],[0.9951976  0.00480242],[0.93286556 0.06284034],train
0,[ 1.3356756 -1.376067 ],[0.93771607 0.062284  ],[0.7917779 0.2016414],train
0,[ 2.5551016 -3.11864  ],[0.9965767  0.00342323],[0.9279156  0.04234489],train
0,[ 2.060226 -2.493492],[0.9895817  0.01041831],[0.88697684 0.07631569],train
0,[ 2.84024   -2.3479342],[0.9944488 0.0055512],[0.944812   0.08723011],train
0,[ 2.3849545 -2.1081948],[0.98893833 0.01106163],[0.9156727  0.10830288],train
0,[ 4.588863  -4.7777023],[9.999144e-01 8.552932e-05],[0.9899379  0.00834509],train
0,[ 3.0806859 -2.3588893],[0.9956774  0.00432256],[0.95608896 0.08636178],train
0,[ 0.8302146 -1.8374684],[0.93509257 0.06490745],[0.6964003  0.13735098],train
0,[ 0.6947505  -0.87573886],[0.8278533  0.17214663],[0.6670229  0.29406157],train
0,[ 2.3834245 -2.867861 ],[0.9947865  0.00521345],[0.9155546  0.05376537],train
0,[ 3.0923452 -3.0205975],[0.9977908  0.00220913],[0.9565759  0.04650398],train
0,[ 1.2140069 -2.3410323],[0.9722138  0.02778612],[0.7710072  0.08778122],train
0,[ 1.9068232 -2.2347376],[0.9843508  0.01564923],[0.8706618  0.09667412],train
0,[ 1.5085828 -2.5166857],[0.9824547  0.01754529],[0.8188511 0.0746967],train
0,[ 2.6423867 -2.2569249],[0.9926035  0.00739659],[0.93354017 0.09475381],train
1,[-1.1528758  0.6216945],[0.1449749 0.8550251],[0.2399642  0.65060383],train
0,[ 1.535296  -1.7614678],[0.9643177  0.03568238],[0.8227799 0.1466066],train
0,[ 1.6628971 -2.3917701],[0.9829543  0.01704565],[0.84062654 0.08380242],train
0,[ 2.3389366 -2.5896149],[0.992815   0.00718498],[0.9120508  0.06980979],train
0,[ 1.6642104 -2.1193848],[0.9777648  0.02223514],[0.8408024  0.10722695],train
0,[ 4.0142612 -4.0461116],[9.9968433e-01 3.1570919e-04],[0.982264  0.0171896],train
0,[ 2.6650345 -3.0508955],[0.99671775 0.00328228],[0.9349316  0.04517883],train
0,[ 1.6954356 -1.761453 ],[0.9694359  0.03056408],[0.8449377  0.14660846],train
0,[ 3.1661994 -3.915107 ],[9.9916005e-01 8.3996798e-04],[0.95954233 0.01954865],train
0,[ 3.4678414 -3.7897742],[9.9929571e-01 7.0429017e-04],[0.96975875 0.0221012 ],train
1,[-3.4818265  3.0054047],[0.00152044 0.99847955],[0.02983377 0.9528177 ],train
0,[ 2.5711732 -2.9724731],[0.99610305 0.00389699],[0.92898315 0.04868505],train
1,[-2.4789546  2.3907175],[0.00761741 0.9923826 ],[0.07734678 0.9161167 ],train
0,[ 1.581369  -0.6386263],[0.9020307  0.09796922],[0.82939833 0.34555712],train
0,[ 2.9373393 -2.4895077],[0.99562234 0.00437769],[0.94966173 0.07659701],train
1,[-1.8857043  1.7515358],[0.02564968 0.97435033],[0.13173504 0.85214645],train
0,[ 2.655963  -2.2561603],[0.9926968  0.00730312],[0.93437755 0.09481942],train
0,[ 2.5062053 -2.7935193],[0.99503183 0.00496816],[0.92457575 0.05767539],train
0,[ 3.1837585 -3.2559643],[0.99840575 0.0015943 ],[0.9602185  0.03711316],train
1,[-2.2747247  2.1088548],[0.01232676 0.9876732 ],[0.093238  0.8917609],train
0,[ 2.7857487 -2.5565135],[0.9952377  0.00476225],[0.9419008  0.07199012],train
0,[ 2.8933227 -3.0824068],[0.9974668  0.00253322],[0.9475153  0.04383883],train
0,[ 2.0738804 -2.4840004],[0.98962456 0.01037547],[0.8883384  0.07698745],train
0,[ 3.5392842 -4.0262227],[9.9948227e-01 5.1774655e-04],[0.97178507 0.01752885],train
0,[ 3.4686317 -3.6848168],[9.9921846e-01 7.8155077e-04],[0.96978194 0.0244871 ],train
0,[ 1.5630189 -2.1042838],[0.97509104 0.02490897],[0.8267861  0.10868116],train
0,[ 3.0294087 -4.114657 ],[9.992111e-01 7.889125e-04],[0.95388514 0.01606911],train
0,[ 3.1179135 -4.078017 ],[9.9925095e-01 7.4906880e-04],[0.9576256  0.01665881],train
0,[ 1.5481935 -1.3920819],[0.94980186 0.05019815],[0.8246527  0.19907561],train
1,[-0.6273466   0.58435434],[0.22940023 0.7705998 ],[0.34811246 0.6420688 ],train
0,[ 2.761315  -3.4364393],[0.99797016 0.00202986],[0.9405492  0.03117585],train
0,[ 2.8515813 -3.8303072],[0.9987482  0.00125184],[0.9454003  0.02124193],train
0,[ 3.8322473 -4.2830834],[9.997011e-01 2.988318e-04],[0.97879833 0.0136122 ],train
0,[ 1.5842518 -2.20383  ],[0.9778621  0.02213781],[0.8298058  0.09940708],train
0,[ 2.1910954 -2.4936574],[0.9908495  0.00915051],[0.899447   0.07630403],train
0,[-2.3554914  1.6278803],[0.01828228 0.9817177 ],[0.08663028 0.835879  ],train
0,[ 0.8329707 -1.4670916],[0.9088822  0.09111781],[0.69698274 0.18738508],train
0,[ 3.3233416 -3.3809419],[0.9987758  0.00122415],[0.965221   0.03289642],train
0,[ 2.424906  -2.3596985],[0.99171185 0.00828816],[0.9187069  0.08629797],train
0,[ 3.248872  -2.8756201],[0.9978162  0.00218382],[0.96263254 0.05337199],train
0,[ 3.0592098 -2.9283438],[0.9974964  0.00250351],[0.9551785  0.05077009],train
0,[ 2.4189937 -2.6917017],[0.9940043  0.00599572],[0.9182642  0.06346481],train
0,[ 1.516941  -2.3839939],[0.9801778  0.01982214],[0.8200876  0.08440141],train
0,[ 2.9823883 -2.969052 ],[0.99740463 0.00259534],[0.9517721  0.04884374],train
0,[ 3.718441  -3.6515112],[9.9937052e-01 6.2950177e-04],[0.97630346 0.02529542],train
0,[ 1.3449231 -1.7301756],[0.9558539  0.04414618],[0.79329836 0.15056512],train
0,[ 0.3480597 -1.0088401],[0.79525536 0.20474464],[0.586147  0.2672069],train
0,[ 2.7625642 -3.9262836],[0.9987569  0.00124317],[0.94061905 0.01933558],train
0,[ 2.427067  -2.4804864],[0.99266374 0.00733633],[0.9188681  0.07723753],train
0,[ 1.7855774 -1.4365604],[0.9616589  0.03834108],[0.8563842  0.19207856],train
0,[ 3.9899065 -4.404772 ],[9.9977404e-01 2.2601614e-04],[0.9818347  0.01207139],train
0,[ 2.1975014 -2.1696198],[0.9874713  0.01252875],[0.9000249  0.10251201],train
1,[-0.7967581  1.2536724],[0.11400887 0.8859911 ],[0.31071943 0.77793497],train
0,[ 1.5189055 -1.3664119],[0.94711584 0.05288417],[0.8203773  0.20320018],train
0,[ 2.2757683 -2.5393708],[0.9919591  0.00804092],[0.90685016 0.07314382],train
0,[ 1.7417696 -2.248484 ],[0.9818408  0.01815917],[0.8509117  0.09548032],train
0,[ 3.0167608 -2.9172654],[0.9973592  0.00264081],[0.9533256  0.05130664],train
0,[ 0.7578476 -2.2318087],[0.95210457 0.04789536],[0.6808862  0.09693021],train
0,[ 3.0535977 -2.8381257],[0.99724543 0.0027546 ],[0.9549376  0.05529837],train
0,[ 3.4870064 -4.543464 ],[9.9967468e-01 3.2528912e-04],[0.9703158  0.01052455],train
0,[ 1.5068831 -2.4966567],[0.98207617 0.01792379],[0.81859887 0.0760929 ],train
0,[ 1.4755338 -2.0744572],[0.9720772  0.02792281],[0.813897   0.11160435],train
0,[ 3.3454795 -3.6204216],[9.9905735e-01 9.4262266e-04],[0.9659565  0.02607337],train
0,[ 0.5882523 -1.9387932],[0.92601615 0.0739838 ],[0.64296407 0.1257805 ],train
0,[ 3.096907  -3.5271332],[0.9986737  0.00132629],[0.95676494 0.02854999],train
0,[ 2.842171  -2.1810656],[0.9934598  0.00654013],[0.9449126  0.10146374],train
0,[ 2.5846908 -2.8736596],[0.9957575 0.0042425],[0.9298698  0.05347113],train
0,[ 0.23687093 -1.2077693 ],[0.8091722  0.19082783],[0.55894244 0.230096  ],train
1,[-2.4339516  1.099764 ],[0.02836799 0.971632  ],[0.08062008 0.7502159 ],train
0,[ 2.0653143 -2.6091173],[0.9907554  0.00924456],[0.887486   0.06855395],train
0,[ 3.3324192 -4.0388722],[9.9937135e-01 6.2865997e-04],[0.9655244  0.01731233],train
0,[ 0.46840382 -1.5125566 ],[0.8787835  0.12121651],[0.6150059  0.18056023],train
0,[ 1.1258873 -1.5212026],[0.93383145 0.0661686 ],[0.7550791  0.17928451],train
1,[-2.8649352  2.2020094],[0.00626218 0.9937378 ],[0.05391442 0.90042984],train
0,[ 0.05210473 -0.6012141 ],[0.65775794 0.34224203],[0.51302326 0.35406595],train
0,[ 2.9528682 -3.2338731],[0.99794775 0.0020523 ],[0.95039886 0.03791073],train
0,[ 2.2838414 -3.262376 ],[0.99611294 0.00388702],[0.90752995 0.03688471],train
0,[ 2.463106  -3.3340821],[0.99697316 0.00302689],[0.9215146 0.0344203],train
0,[ 2.2129648 -2.582668 ],[0.99180204 0.008198  ],[0.90140766 0.07026224],train
0,[ 2.9905136 -3.186644 ],[0.997928   0.00207202],[0.9521437  0.03967144],train
0,[ 0.9155242 -1.166994 ],[0.8891924  0.11080761],[0.71412927 0.23739874],train
0,[ 2.182741  -2.4673607],[0.99052995 0.00947009],[0.89868885 0.07817822],train
0,[ 2.97      -3.4376743],[0.99835384 0.00164614],[0.9512003  0.03113857],train
1,[-1.8405894  2.4655452],[0.01330613 0.9866939 ],[0.13698159 0.9216909 ],train
0,[ 2.5791433 -2.2513776],[0.99208087 0.00791915],[0.9295072  0.09523071],train
0,[ 3.6828945 -3.4704244],[9.9921834e-01 7.8165205e-04],[0.97546697 0.03016556],train
0,[ 2.934374  -2.9126275],[0.9971198  0.00288023],[0.94951975 0.05153286],train
0,[ 3.6410105 -4.006893 ],[9.9952316e-01 4.7681574e-04],[0.9744444  0.01786486],train
0,[ 1.5198364 -1.8645314],[0.9672124  0.03278759],[0.82051444 0.13417576],train
0,[ 2.9561617 -2.634445 ],[0.9962811  0.00371888],[0.95055395 0.06695423],train
0,[ 3.7909544 -3.0715616],[0.9989548  0.00104518],[0.9779243  0.04429567],train
0,[ 2.6456769 -3.134938 ],[0.9969227  0.00307732],[0.933744   0.04168888],train
0,[ 1.9745796 -2.5123777],[0.9888705  0.01112957],[0.8781021 0.074995 ],train
0,[ 3.629223  -3.6005511],[9.9927586e-01 7.2415947e-04],[0.97414917 0.02658273],train
0,[ 3.5037014 -3.7128513],[9.992662e-01 7.337906e-04],[0.9707929  0.02382628],train
1,[-1.30907   1.792179],[0.04305577 0.9569443 ],[0.2126425 0.8571942],train
0,[ 2.2702549 -2.9047034],[0.99437535 0.00562464],[0.90638345 0.05192155],train
0,[ 2.8796175 -3.4919815],[0.99829346 0.00170651],[0.94682956 0.02954124],train
0,[ 4.209444  -4.0456004],[9.9974006e-01 2.5987628e-04],[0.98536277 0.01719824],train
0,[ 2.8020875 -2.766465 ],[0.9961985  0.00380149],[0.94278854 0.05916348],train
0,[ 3.4785955 -3.3574233],[0.9989268  0.00107322],[0.9700725  0.03365292],train
0,[ 2.75805   -2.8784654],[0.9964474 0.0035526],[0.9403664  0.05322842],train
0,[ 1.8768802 -1.7774968],[0.97477514 0.02522486],[0.8672524 0.1446125],train
0,[ 3.0406053 -2.5142658],[0.9961463  0.00385366],[0.9543752  0.07486413],train
0,[ 2.2289898 -3.2515833],[0.9958503  0.00414965],[0.90282273 0.03727003],train
0,[ 1.1506777 -2.1134846],[0.96317863 0.03682131],[0.7596347  0.10779308],train
0,[ 3.949317  -3.7693343],[9.9955577e-01 4.4426220e-04],[0.98109645 0.02254731],train
0,[ 2.233178  -2.6165884],[0.9922306  0.00776937],[0.9031896  0.06807843],train
0,[ 2.684381 -3.117924],[0.9969886  0.00301149],[0.9360987  0.04237393],train
0,[ 1.6841842 -2.0835116],[0.9774165  0.02258344],[0.8434578  0.11070976],train
0,[ 2.7400353 -3.6686704],[0.99835557 0.00164445],[0.9393481  0.02487577],train
1,[-1.8245878  1.3204604],[0.04128684 0.9587132 ],[0.13888429 0.7892583 ],train
0,[ 1.687277  -1.5030571],[0.96046895 0.03953109],[0.84386575 0.18197002],train
0,[ 2.4132822 -3.2526617],[0.9965501  0.00344993],[0.9178346  0.03723136],train
0,[ 2.058831  -1.7935077],[0.97921133 0.02078868],[0.8868369  0.14264321],train
1,[-2.0275433   0.89184844],[0.05120325 0.94879675],[0.11634125 0.7092715 ],train
0,[-0.44505477 -0.25169936],[0.4518112 0.5481888],[0.3905372  0.43740532],train
0,[ 3.7647903 -3.7849848],[9.994741e-01 5.259517e-04],[0.9773523  0.02220495],train
