class,sigmoid_output,set
0,[0.38841838 0.40679243],train
0,[0.95622075 0.01608158],train
1,[0.13149291 0.71739936],train
0,[0.9184485  0.07148128],train
0,[0.95740825 0.07954795],train
0,[0.937403   0.03348365],train
0,[0.9831125  0.00933479],train
0,[0.94250464 0.05405795],train
0,[0.8267718  0.13356055],train
0,[0.9125439  0.09847043],train
0,[0.13735054 0.4803489 ],train
0,[0.8184763  0.20346834],train
0,[0.8689715 0.0602885],train
0,[0.96636534 0.03407531],train
0,[0.97172415 0.04232617],train
0,[0.94754434 0.06217854],train
0,[0.94851553 0.03816327],train
0,[0.92649794 0.08887512],train
0,[0.95864546 0.04283749],train
0,[0.9339484  0.05347588],train
0,[0.9181862  0.05497037],train
0,[0.93777525 0.02802789],train
0,[0.87188745 0.07536005],train
0,[0.87344486 0.10956895],train
0,[0.9447705  0.07490245],train
0,[0.9938852  0.00455117],train
0,[0.94954574 0.0780392 ],train
0,[0.9703277  0.01468826],train
0,[0.44988924 0.40938205],train
0,[0.8183639  0.09187214],train
0,[0.7745159  0.10314939],train
1,[0.09548488 0.86294204],train
0,[0.9510582  0.01526822],train
0,[0.9077302  0.12681203],train
0,[0.9578248  0.03061511],train
0,[0.9760802 0.0160035],train
0,[0.9149581 0.0697111],train
0,[0.98693    0.00978578],train
0,[0.96395385 0.03394229],train
0,[0.9748274  0.04423239],train
1,[0.17936006 0.69358164],train
0,[0.7899096  0.13125248],train
0,[0.95205843 0.02817514],train
1,[0.039788  0.8489547],train
0,[0.6117785  0.09939076],train
0,[0.9753846  0.01452342],train
0,[0.88281566 0.12142469],train
0,[0.97181195 0.0188658 ],train
0,[0.8738838  0.09406631],train
0,[0.9338844 0.055159 ],train
0,[0.6864654  0.32957444],train
0,[0.7814224 0.1903625],train
0,[0.9897725  0.00776897],train
1,[0.04692803 0.8414827 ],train
0,[0.86822987 0.11639725],train
1,[0.16593039 0.7213734 ],train
1,[0.01279598 0.98098534],train
0,[0.92020136 0.08961751],train
0,[0.951958   0.03570536],train
0,[0.75204766 0.18892172],train
0,[0.04718772 0.8784989 ],train
0,[0.96360916 0.04119567],train
0,[0.93206215 0.0743575 ],train
0,[0.7264771  0.21936786],train
0,[0.8928124  0.07190074],train
0,[0.9338739  0.10028481],train
0,[0.92723155 0.05404754],train
0,[0.8748169 0.0685496],train
0,[0.95557946 0.04904176],train
1,[0.08815525 0.81433403],train
0,[0.87000036 0.11817681],train
1,[0.10423663 0.7417442 ],train
0,[0.95861524 0.03352106],train
0,[0.24222234 0.3928828 ],train
0,[0.91778797 0.08877118],train
0,[0.84116703 0.05968415],train
0,[0.8927722  0.10261517],train
0,[0.9522931  0.01040437],train
0,[0.8956632  0.08900052],train
0,[0.9368666  0.02676313],train
0,[0.20340769 0.78130966],train
0,[0.9622918  0.01963164],train
0,[0.86536163 0.08734835],train
0,[0.959348   0.02030461],train
0,[0.8818391  0.09574185],train
0,[0.9662025  0.04410568],train
0,[0.9250648  0.07907511],train
0,[0.8826414  0.04415241],train
0,[0.97561127 0.01466326],train
0,[0.9548852 0.0484782],train
1,[0.07936103 0.6928913 ],train
0,[0.9243252 0.0324109],train
0,[0.87212986 0.1128784 ],train
0,[0.8465901  0.05556146],train
0,[0.93064946 0.04946173],train
0,[0.87514573 0.06521919],train
1,[0.12522121 0.8836916 ],train
0,[0.92051375 0.04615596],train
0,[0.9061813  0.08107979],train
0,[0.8479398  0.07322705],train
0,[0.8983753  0.05000395],train
0,[0.92442214 0.067944  ],train
0,[0.9346097  0.04701525],train
0,[0.9659846 0.0355074],train
0,[0.8711916  0.08969302],train
0,[0.89310545 0.11942527],train
0,[0.95340973 0.03013217],train
0,[0.32326508 0.62427074],train
1,[0.16407104 0.8438121 ],train
0,[0.90318197 0.05514491],train
0,[0.9682493  0.02475952],train
0,[0.5747659  0.31699347],train
0,[0.9903814 0.0128362],train
0,[0.9337989  0.03213358],train
0,[0.9716405  0.04494708],train
0,[0.9333382 0.1045206],train
0,[0.9388501  0.05212255],train
0,[0.96766245 0.0452766 ],train
0,[0.85024714 0.18789364],train
0,[0.8096051  0.10607403],train
0,[0.76257265 0.17469263],train
0,[0.7622459  0.16291943],train
0,[0.72496384 0.20178823],train
0,[0.86964923 0.0484208 ],train
1,[0.10179816 0.8446865 ],train
0,[0.97326773 0.02462484],train
0,[0.97866094 0.00953471],train
0,[0.9586588  0.02837833],train
0,[0.90956235 0.10921583],train
0,[0.9738811  0.01464915],train
0,[0.74584055 0.12082607],train
0,[0.87896353 0.06638946],train
0,[0.7674503  0.18259867],train
0,[0.95848316 0.03149331],train
0,[0.8433664  0.17798302],train
0,[0.9551979  0.02114105],train
0,[0.86949754 0.09125673],train
0,[0.77029526 0.19289795],train
0,[0.26468107 0.43478826],train
0,[0.9640147  0.01585647],train
0,[0.37140092 0.5324435 ],train
0,[0.68430436 0.26508358],train
0,[0.7064948 0.2497006],train
0,[0.922528   0.05224461],train
1,[0.08809487 0.8870685 ],train
0,[0.9318223  0.07477985],train
0,[0.9392335  0.07668018],train
0,[0.9773415  0.02259788],train
0,[0.95010823 0.04183944],train
1,[0.06066095 0.8762667 ],train
0,[0.8814271  0.10553645],train
0,[0.9205958  0.04521068],train
0,[0.979537   0.01562775],train
0,[0.9521714 0.0515931],train
0,[0.6760889  0.25176182],train
0,[0.79089475 0.12206279],train
0,[0.7223642  0.09510113],train
0,[0.95839685 0.06697307],train
0,[0.9185069  0.05983797],train
0,[0.6677423  0.12012432],train
0,[0.8749274  0.11770728],train
0,[0.83548075 0.15547371],train
0,[0.89576864 0.06610932],train
0,[0.95020616 0.0321376 ],train
0,[0.91190296 0.05532786],train
0,[0.9889692  0.00454767],train
0,[0.9748457  0.02225199],train
0,[0.957286   0.03337004],train
1,[0.13953008 0.84496796],train
0,[0.6649608  0.16590907],train
0,[0.9364007  0.10509776],train
0,[0.9585831  0.02250766],train
0,[0.79763806 0.20472205],train
0,[0.82000184 0.13204803],train
1,[0.02945476 0.9249115 ],train
1,[0.189464 0.736761],train
0,[0.8613497  0.10590253],train
0,[0.96719724 0.02090677],train
0,[0.9731294  0.01220841],train
0,[0.9871982  0.01031181],train
0,[0.98490137 0.00887366],train
0,[0.9719615  0.01671276],train
0,[0.9718008  0.02611252],train
0,[0.783451   0.16155855],train
0,[0.8592032 0.0900317],train
0,[0.8511269  0.10645879],train
0,[0.9688852  0.02962431],train
0,[0.910112  0.0532656],train
0,[0.8863015  0.10627851],train
0,[0.9638692  0.05085301],train
0,[0.90960366 0.04140496],train
0,[0.9484559  0.03074334],train
0,[0.67100006 0.3781916 ],train
0,[0.892679   0.07145756],train
0,[0.88170105 0.10548835],train
0,[0.96844697 0.02666537],train
1,[0.17447476 0.83947295],train
0,[0.893956   0.09032254],train
0,[0.831187   0.08230357],train
0,[0.9733643  0.02468091],train
0,[0.9458725  0.04524505],train
0,[0.95040864 0.03945001],train
0,[0.89262795 0.1073128 ],train
0,[0.82280445 0.05852268],train
0,[0.47174832 0.2631739 ],train
0,[0.96695286 0.02141039],train
0,[0.92876756 0.0414534 ],train
0,[0.93666023 0.03698195],train
1,[0.23460361 0.7406602 ],train
0,[0.86102605 0.07452486],train
1,[0.21824886 0.72917736],train
0,[0.88561094 0.01643964],train
1,[0.07248607 0.8974001 ],train
0,[0.82961637 0.11406019],train
0,[0.76212984 0.03465676],train
1,[0.0806489  0.86043704],train
0,[0.95048136 0.03824724],train
0,[0.98035437 0.01466186],train
0,[0.9392437  0.03635669],train
0,[0.94202775 0.02516942],train
1,[0.08509858 0.92438436],train
0,[0.8097842  0.10208358],train
0,[0.9444693  0.04425073],train
1,[0.03755819 0.90213645],train
0,[0.9508773  0.04191726],train
0,[0.9565284  0.02237031],train
0,[0.9578171  0.01724874],train
0,[0.8617781  0.10205085],train
0,[0.796874   0.13198753],train
0,[0.91247964 0.04143674],train
0,[0.95375985 0.03604299],train
0,[0.9784185  0.01787801],train
0,[0.86995745 0.08280259],train
0,[0.90594494 0.01668993],train
0,[0.9153741  0.08465901],train
0,[0.9400374  0.03582969],train
0,[0.960104   0.01856553],train
0,[0.74974185 0.11810192],train
0,[0.9162753  0.05307485],train
0,[0.7121236  0.31775758],train
1,[0.17815071 0.671287  ],train
0,[0.9408642  0.05680183],train
0,[0.8722734  0.07741977],train
0,[0.9760468  0.01299286],train
0,[0.90296394 0.16564147],train
0,[0.6101465 0.2818406],train
0,[0.86658466 0.05854522],train
0,[0.9834795  0.01238715],train
0,[0.9114458  0.02458633],train
0,[0.8682371  0.07148252],train
0,[0.96255785 0.01939899],train
0,[0.81183547 0.03304808],train
0,[0.9085391  0.06462861],train
0,[0.92325926 0.0667128 ],train
0,[0.5899913  0.48682013],train
0,[0.9132718  0.08199179],train
0,[0.93811256 0.04175517],train
0,[0.8602835  0.05587553],train
0,[0.39680013 0.28902513],train
1,[0.34441775 0.7507178 ],train
0,[0.8751127  0.12671465],train
0,[0.9101116  0.07993191],train
0,[0.84177864 0.16526788],train
0,[0.9273607 0.0441443],train
0,[0.77722126 0.13793358],train
0,[0.81882423 0.15392624],train
0,[0.9122402  0.08198931],train
1,[0.2124765 0.7875138],train
0,[0.9022619  0.11341899],train
0,[0.97765756 0.01763934],train
0,[0.8537129  0.10757595],train
0,[0.84325093 0.10768939],train
0,[0.8782686  0.06171113],train
0,[0.9368369  0.05956234],train
0,[0.81243324 0.10822487],train
0,[0.9646349  0.02257592],train
0,[0.87644696 0.05403891],train
0,[0.9268457  0.04507826],train
0,[0.94178784 0.0349036 ],train
0,[0.9665767  0.03231091],train
0,[0.93767136 0.03958562],train
1,[0.05367517 0.93104774],train
0,[0.8490422  0.11707706],train
0,[0.9466958  0.07104481],train
0,[0.9386976  0.05792512],train
0,[0.9653928  0.02155695],train
0,[0.92637414 0.0509304 ],train
0,[0.88286734 0.11256618],train
1,[0.0585329  0.72125304],train
0,[0.9796361 0.0128085],train
0,[0.8671436  0.09506684],train
0,[0.95987844 0.03379915],train
0,[0.9568992  0.04161651],train
0,[0.8531754  0.10697891],train
0,[0.96572435 0.03906754],train
0,[0.7756528  0.19630553],train
0,[0.84268916 0.12261786],train
0,[0.9061912  0.05252615],train
0,[0.9461136  0.01654671],train
0,[0.97596323 0.0217177 ],train
0,[0.8338298 0.1778844],train
0,[0.98146516 0.01827703],train
0,[0.9332291  0.05068275],train
0,[0.83376306 0.07472244],train
0,[0.94756436 0.04576046],train
0,[0.83385515 0.11827524],train
0,[0.8093962  0.18792608],train
0,[0.48578876 0.37031412],train
0,[0.9266734  0.14225358],train
0,[0.94251066 0.09155707],train
0,[0.7403368  0.24617542],train
0,[0.8827002  0.05272237],train
1,[0.16747373 0.64187545],train
0,[0.94692767 0.04980423],train
0,[0.96537423 0.01609682],train
0,[0.91207635 0.05307315],train
0,[0.8785749  0.07109006],train
0,[0.84509003 0.14014123],train
0,[0.88788605 0.09118488],train
0,[0.88993883 0.12988597],train
0,[0.8869645  0.12654953],train
0,[0.9480154  0.03728891],train
0,[0.9501841  0.03792454],train
0,[0.93513936 0.06714017],train
0,[0.8865464  0.10197654],train
0,[0.9275703  0.05003137],train
0,[0.9356064  0.03799224],train
0,[0.96858853 0.02308881],train
0,[0.9678535  0.02672859],train
0,[0.8088243  0.12302494],train
1,[0.16851982 0.82223094],train
0,[0.6999874  0.29500654],train
0,[0.9528358  0.03477807],train
0,[0.9796576  0.02153947],train
0,[0.6813958 0.2247307],train
0,[0.9688955  0.01094388],train
0,[0.4263293 0.5903761],train
0,[0.92010444 0.10098544],train
0,[0.95633006 0.0364712 ],train
0,[0.92683566 0.05906278],train
0,[0.72862405 0.32605115],train
0,[0.9083171  0.09697784],train
0,[0.9523522  0.01997582],train
0,[0.7893293  0.14209485],train
0,[0.83200425 0.07794045],train
0,[0.9433095  0.05011936],train
0,[0.9036276  0.05282246],train
1,[0.21119168 0.83876526],train
0,[0.96119136 0.0174066 ],train
0,[0.973853   0.01690165],train
0,[0.15629563 0.80292976],train
0,[0.9563908  0.04366782],train
0,[0.9837812  0.01136283],train
0,[0.71184456 0.24740836],train
0,[0.91741955 0.06038271],train
0,[0.84702504 0.06200658],train
0,[0.78520316 0.12973616],train
0,[0.966688   0.04450318],train
0,[0.8947992  0.04557706],train
1,[0.12917508 0.8435549 ],train
0,[0.9884785  0.02168857],train
0,[0.7870252  0.05871335],train
0,[0.94327587 0.03262349],train
1,[0.33452556 0.5940359 ],train
0,[0.9723752  0.02224007],train
0,[0.9722652  0.03628495],train
1,[0.05094781 0.9410522 ],train
0,[0.9709809  0.01185797],train
0,[0.9396827  0.05892897],train
1,[0.0228986  0.93888944],train
0,[0.9191133  0.05707457],train
0,[0.9355557  0.03568704],train
0,[0.97210747 0.01446237],train
0,[0.9211409  0.05393329],train
0,[0.8682891  0.11780599],train
0,[0.9728985  0.02637269],train
0,[0.9427129  0.02805537],train
0,[0.89711547 0.04571382],train
0,[0.8263304  0.12343353],train
0,[0.9186042  0.06313339],train
0,[0.48037726 0.32960817],train
1,[0.5863272  0.53414726],train
0,[0.954323   0.02623504],train
0,[0.7878119  0.08946585],train
0,[0.91533935 0.04047625],train
0,[0.8607559  0.04938573],train
0,[0.97179204 0.01786713],train
0,[0.74033666 0.04877404],train
1,[0.05070471 0.8889053 ],train
0,[0.95782584 0.01310681],train
0,[0.8838542  0.08008762],train
0,[0.98109275 0.03539399],train
0,[0.8993048  0.04566735],train
0,[0.98899114 0.01162495],train
0,[0.92964953 0.0325065 ],train
0,[0.80713236 0.20600966],train
1,[0.05425734 0.8515386 ],train
0,[0.1748396  0.84757984],train
0,[0.7888777  0.16859065],train
0,[0.61261684 0.20018978],train
0,[0.9405079  0.04591056],train
0,[0.90416247 0.06296364],train
0,[0.7803549  0.23848759],train
0,[0.5810375  0.16550058],train
0,[0.87166214 0.1649968 ],train
0,[0.9321243 0.0586899],train
0,[0.92819977 0.05784626],train
0,[0.66401947 0.20611304],train
0,[0.9657954  0.03626585],train
0,[0.9404323  0.05505224],train
0,[0.906298   0.08567607],train
0,[0.89152724 0.09737869],train
0,[0.9661104  0.04353065],train
0,[0.982802   0.01724043],train
0,[0.76578325 0.15527634],train
1,[0.07795995 0.87938267],train
0,[0.8874357  0.08308886],train
0,[0.98441446 0.025127  ],train
1,[0.03143228 0.9404008 ],train
0,[0.9677279 0.0216151],train
0,[0.96735    0.04099868],train
0,[0.96473485 0.06402156],train
1,[0.06882495 0.89632547],train
0,[0.90616477 0.06317288],train
0,[0.5426266  0.22813925],train
0,[0.97104114 0.03147495],train
0,[0.8988456  0.05788694],train
0,[0.9327017  0.05698204],train
0,[0.6726002  0.22359848],train
0,[0.8551931  0.10305265],train
0,[0.96804607 0.03119581],train
0,[0.80741364 0.23446625],train
0,[0.95924884 0.01679139],train
0,[0.9616581  0.01914367],train
0,[0.90179974 0.01510425],train
0,[0.8854025  0.04632346],train
0,[0.8400177  0.14716952],train
0,[0.89007396 0.11727822],train
0,[0.8984871  0.07154819],train
0,[0.85052085 0.10353216],train
0,[0.8984896  0.05414819],train
0,[0.7838157  0.16454653],train
0,[0.8608054 0.1311207],train
0,[0.9082343  0.12188872],train
0,[0.28646928 0.53356314],train
0,[0.6120448  0.21715997],train
0,[0.95039886 0.03791073],train
0,[0.86012244 0.12734151],train
0,[0.31803292 0.4798427 ],train
0,[0.9464293  0.05127621],train
0,[0.95834965 0.0204362 ],train
0,[0.7825334  0.02527211],train
0,[0.950776   0.04932372],train
0,[0.83464634 0.09233502],train
0,[0.82783526 0.1723164 ],train
0,[0.94176364 0.04994032],train
1,[0.02404586 0.9657526 ],train
0,[0.39850968 0.45866054],train
0,[0.79329836 0.15056512],train
0,[0.8251399  0.12853943],train
0,[0.8392628 0.1325272],train
0,[0.86067885 0.20487112],train
0,[0.92147994 0.04237749],train
0,[0.8971114  0.02883451],train
0,[0.9377933 0.0668823],train
0,[0.8894412  0.09501664],train
0,[0.73577803 0.1549082 ],train
0,[0.906878   0.07794196],train
0,[0.7786155  0.27070114],train
0,[0.9593446  0.05089092],train
0,[0.40974918 0.26126903],train
0,[0.81558275 0.17355074],train
0,[0.8920033  0.01772331],train
0,[0.9668796  0.02265919],train
0,[0.9430946  0.03356244],train
0,[0.9454028  0.04869819],train
0,[0.8778529  0.03550097],train
0,[0.9244142  0.04661217],train
0,[0.97341985 0.02261768],train
0,[0.9588342  0.03672453],train
0,[0.96407706 0.01553424],train
0,[0.9156548  0.05861313],train
0,[0.976227   0.02044596],train
0,[0.91911596 0.12098475],train
0,[0.90243423 0.05066048],train
0,[0.96562105 0.03285469],train
0,[0.7421491  0.15998554],train
0,[0.73840487 0.2329274 ],train
0,[0.8502732  0.10626356],train
0,[0.9881904  0.01016319],train
0,[0.94155246 0.05943618],train
0,[0.94625133 0.03140661],train
0,[0.94997954 0.06990121],train
0,[0.85898465 0.14486177],train
0,[0.93640184 0.05193985],train
1,[0.22453238 0.71845317],train
0,[0.1682474  0.56941545],train
0,[0.9346542  0.05344089],train
0,[0.84115714 0.11699995],train
0,[0.8622062  0.09687865],train
0,[0.8614747  0.15595812],train
0,[0.7723905  0.10352336],train
0,[0.63533825 0.15230559],train
0,[0.96846324 0.03848616],train
0,[0.95364904 0.06406673],train
0,[0.97046137 0.03304589],train
0,[0.9051697  0.09064644],train
0,[0.82471585 0.1524452 ],train
0,[0.9107811  0.07540356],train
0,[0.9686193  0.02075289],train
0,[0.34406435 0.48168477],train
0,[0.9017214  0.16086414],train
0,[0.8565243  0.06226396],train
0,[0.9319257  0.06944808],train
0,[0.85583675 0.06583467],train
0,[0.8880459  0.11175384],train
0,[0.9613132  0.03372168],train
0,[0.9714427  0.04560918],train
0,[0.90102476 0.05311719],train
0,[0.80013126 0.10594846],train
0,[0.90065473 0.04187442],train
0,[0.969024   0.02698356],train
0,[0.9746815 0.0202208],train
1,[0.01280614 0.9555626 ],train
0,[0.87023115 0.09801929],train
0,[0.9708099  0.04553273],train
0,[0.8178692  0.07880744],train
0,[0.9839078  0.00991106],train
0,[0.9756791 0.0240048],train
0,[0.92475253 0.06105712],train
0,[0.7896583  0.10323248],train
0,[0.7490073  0.08049813],train
0,[0.93048674 0.05606752],train
1,[0.15745467 0.81364423],train
0,[0.9256364  0.06666429],train
0,[0.9706551  0.01456225],train
0,[0.9812732  0.02002702],train
0,[0.940808   0.03140805],train
0,[0.93963856 0.05280323],train
0,[0.9050956  0.03706458],train
0,[0.8608758  0.09035992],train
0,[0.8507164  0.09883536],train
0,[0.89425343 0.09889131],train
0,[0.987318   0.00985484],train
0,[0.906629   0.03212794],train
0,[0.953665   0.03151552],train
0,[0.84131557 0.14031854],train
0,[0.9313313  0.04526157],train
0,[0.8013322  0.08992527],train
0,[0.9556873  0.04886436],train
0,[0.90828896 0.06491675],train
0,[0.92164093 0.05054404],train
0,[0.7902656  0.15111761],train
0,[0.8579999  0.11262175],train
0,[0.9661799  0.01766345],train
0,[0.87166566 0.08150892],train
0,[0.78876626 0.10757934],train
0,[0.95520973 0.04493904],train
0,[0.66327107 0.23343001],train
0,[0.96792936 0.03115531],train
0,[0.8913372  0.05273613],train
0,[0.97209394 0.02608423],train
0,[0.91775143 0.10963254],train
0,[0.8299043  0.12796117],train
0,[0.90324426 0.06023069],train
1,[0.16279303 0.67972267],train
0,[0.5388084 0.2278567],train
0,[0.982842  0.0103328],train
0,[0.870478 0.043377],train
0,[0.84830564 0.20508747],train
0,[0.09297352 0.826694  ],train
